specimen,layer_index,frame_type,frame_idx,tip_x,tip_y,confidence,delta_x,delta_y,direction_deg,movement_px
Rec-024_90s_1,1,core,4806,315,331,0.9831,5.0,0.0,0.0,5.0
Rec-024_90s_1,1,core,4807,319,331,0.9852,4.0,0.0,0.0,4.0
Rec-024_90s_1,1,core,4808,324,331,0.9849,5.0,0.0,0.0,5.0
Rec-024_90s_1,1,core,4809,328,331,0.9858,4.0,0.0,0.0,4.0
Rec-024_90s_1,1,core,4810,333,331,0.9874,5.0,0.0,0.0,5.0
Rec-024_90s_1,1,core,4811,337,331,0.987,4.0,0.0,0.0,4.0
Rec-024_90s_1,1,core,4812,342,331,0.9877,5.0,0.0,0.0,5.0
Rec-024_90s_1,1,core,4813,346,331,0.9853,4.0,0.0,0.0,4.0
Rec-024_90s_1,1,core,4814,351,331,0.9839,5.0,0.0,0.0,5.0
Rec-024_90s_1,1,core,4815,355,331,0.9845,4.0,0.0,0.0,4.0
Rec-024_90s_1,1,core,4816,355,330,0.9887,0.0,-1.0,90.0,1.0
Rec-024_90s_1,1,post,4817,355,330,0.9905,0.0,0.0,0.0,0.0
Rec-024_90s_1,1,post,4818,352,330,0.9826,-3.0,0.0,180.0,3.0
Rec-024_90s_1,1,post,4819,341,330,0.9932,-11.0,0.0,180.0,11.0
Rec-024_90s_1,1,post,4820,341,330,0.9926,0.0,0.0,0.0,0.0
Rec-024_90s_1,1,post,4821,337,330,0.9921,-4.0,0.0,180.0,4.0
Rec-024_90s_1,2,pre,4938,315,330,0.9866,,,,
Rec-024_90s_1,2,pre,4939,307,330,0.9857,-8.0,0.0,180.0,8.0
Rec-024_90s_1,2,pre,4940,302,330,0.9873,-5.0,0.0,180.0,5.0
Rec-024_90s_1,2,pre,4941,290,330,0.9855,-12.0,0.0,180.0,12.0
Rec-024_90s_1,2,pre,4942,290,331,0.9863,0.0,1.0,-90.0,1.0
Rec-024_90s_1,2,core,4943,290,331,0.9797,0.0,0.0,0.0,0.0
Rec-024_90s_1,2,core,4944,296,331,0.982,6.0,0.0,0.0,6.0
Rec-024_90s_1,2,core,4945,301,331,0.9822,5.0,0.0,0.0,5.0
Rec-024_90s_1,2,core,4946,305,331,0.9839,4.0,0.0,0.0,4.0
Rec-024_90s_1,2,core,4947,310,331,0.9842,5.0,0.0,0.0,5.0
Rec-024_90s_1,2,core,4948,314,331,0.9845,4.0,0.0,0.0,4.0
Rec-024_90s_1,2,core,4949,319,331,0.9862,5.0,0.0,0.0,5.0
Rec-024_90s_1,2,core,4950,323,331,0.9854,4.0,0.0,0.0,4.0
Rec-024_90s_1,2,core,4951,328,331,0.9879,5.0,0.0,0.0,5.0
Rec-024_90s_1,2,core,4952,332,331,0.9875,4.0,0.0,0.0,4.0
Rec-024_90s_1,2,core,4953,337,331,0.9891,5.0,0.0,0.0,5.0
Rec-024_90s_1,2,core,4954,341,331,0.984,4.0,0.0,0.0,4.0
Rec-024_90s_1,2,core,4955,346,331,0.984,5.0,0.0,0.0,5.0
Rec-024_90s_1,2,core,4956,350,331,0.9809,4.0,0.0,0.0,4.0
Rec-024_90s_1,2,core,4957,355,331,0.9812,5.0,0.0,0.0,5.0
Rec-024_90s_1,2,core,4958,355,330,0.9888,0.0,-1.0,90.0,1.0
Rec-024_90s_1,2,post,4959,353,330,0.9879,-2.0,0.0,180.0,2.0
Rec-024_90s_1,2,post,4960,334,331,0.9862,-19.0,1.0,-176.99,19.03
Rec-024_90s_1,2,post,4961,332,331,0.9917,-2.0,0.0,180.0,2.0
Rec-024_90s_1,2,post,4962,333,331,0.9884,1.0,0.0,0.0,1.0
Rec-024_90s_1,2,post,4963,330,331,0.9878,-3.0,0.0,180.0,3.0
Rec-024_90s_1,3,pre,5085,292,331,0.9852,,,,
Rec-024_90s_1,3,pre,5086,290,331,0.9872,-2.0,0.0,180.0,2.0
Rec-024_90s_1,3,pre,5087,290,331,0.9905,0.0,0.0,0.0,0.0
Rec-024_90s_1,3,pre,5088,290,331,0.989,0.0,0.0,0.0,0.0
Rec-024_90s_1,3,pre,5089,290,331,0.9843,0.0,0.0,0.0,0.0
Rec-024_90s_1,3,core,5090,290,332,0.9808,0.0,1.0,-90.0,1.0
Rec-024_90s_1,3,core,5091,293,332,0.9801,3.0,0.0,0.0,3.0
Rec-024_90s_1,3,core,5092,298,331,0.9838,5.0,-1.0,11.31,5.1
Rec-024_90s_1,3,core,5093,302,331,0.982,4.0,0.0,0.0,4.0
Rec-024_90s_1,3,core,5094,307,331,0.9855,5.0,0.0,0.0,5.0
Rec-024_90s_1,3,core,5095,311,331,0.9828,4.0,0.0,0.0,4.0
Rec-024_90s_1,3,core,5096,321,331,0.9855,10.0,0.0,0.0,10.0
Rec-024_90s_1,3,core,5097,325,331,0.9884,4.0,0.0,0.0,4.0
Rec-024_90s_1,3,core,5098,334,331,0.9899,9.0,0.0,0.0,9.0
Rec-024_90s_1,3,core,5099,339,331,0.9892,5.0,0.0,0.0,5.0
Rec-024_90s_1,3,core,5100,352,331,0.9879,13.0,0.0,0.0,13.0
Rec-024_90s_1,3,core,5101,355,331,0.9891,3.0,0.0,0.0,3.0
Rec-024_90s_1,3,post,5102,355,330,0.9918,0.0,-1.0,90.0,1.0
Rec-024_90s_1,3,post,5103,349,330,0.9888,-6.0,0.0,180.0,6.0
Rec-024_90s_1,3,post,5104,347,330,0.9944,-2.0,0.0,180.0,2.0
Rec-024_90s_1,3,post,5105,347,330,0.9923,0.0,0.0,0.0,0.0
Rec-024_90s_1,3,post,5106,349,330,0.9933,2.0,0.0,0.0,2.0
Rec-024_90s_1,4,pre,5221,304,330,0.9882,,,,
Rec-024_90s_1,4,pre,5222,300,330,0.9846,-4.0,0.0,180.0,4.0
Rec-024_90s_1,4,pre,5223,290,331,0.9893,-10.0,1.0,-174.29,10.05
Rec-024_90s_1,4,pre,5224,290,331,0.9907,0.0,0.0,0.0,0.0
Rec-024_90s_1,4,pre,5225,290,331,0.9877,0.0,0.0,0.0,0.0
Rec-024_90s_1,4,core,5226,290,331,0.9822,0.0,0.0,0.0,0.0
Rec-024_90s_1,4,core,5227,291,332,0.9828,1.0,1.0,-45.0,1.41
Rec-024_90s_1,4,core,5228,300,331,0.9833,9.0,-1.0,6.34,9.06
Rec-024_90s_1,4,core,5229,304,331,0.985,4.0,0.0,0.0,4.0
Rec-024_90s_1,4,core,5230,309,331,0.9857,5.0,0.0,0.0,5.0
Rec-024_90s_1,4,core,5231,313,331,0.9868,4.0,0.0,0.0,4.0
Rec-024_90s_1,4,core,5232,318,331,0.988,5.0,0.0,0.0,5.0
Rec-024_90s_1,4,core,5233,322,331,0.9882,4.0,0.0,0.0,4.0
Rec-024_90s_1,4,core,5234,327,331,0.9897,5.0,0.0,0.0,5.0
Rec-024_90s_1,4,core,5235,331,331,0.9892,4.0,0.0,0.0,4.0
Rec-024_90s_1,4,core,5236,336,331,0.9908,5.0,0.0,0.0,5.0
Rec-024_90s_1,4,core,5237,340,331,0.989,4.0,0.0,0.0,4.0
Rec-024_90s_1,4,core,5238,345,331,0.9907,5.0,0.0,0.0,5.0
Rec-024_90s_1,4,core,5239,349,331,0.9879,4.0,0.0,0.0,4.0
Rec-024_90s_1,4,core,5240,354,331,0.9895,5.0,0.0,0.0,5.0
Rec-024_90s_1,4,post,5241,355,330,0.9893,1.0,-1.0,45.0,1.41
Rec-024_90s_1,4,post,5242,355,330,0.9938,0.0,0.0,0.0,0.0
Rec-024_90s_1,4,post,5243,355,330,0.9905,0.0,0.0,0.0,0.0
Rec-024_90s_1,4,post,5244,350,330,0.9926,-5.0,0.0,180.0,5.0
Rec-024_90s_1,4,post,5245,347,330,0.9925,-3.0,0.0,180.0,3.0
Rec-024_90s_1,5,pre,5356,302,330,0.9874,,,,
Rec-024_90s_1,5,pre,5357,297,331,0.984,-5.0,1.0,-168.69,5.1
Rec-024_90s_1,5,pre,5358,293,331,0.9867,-4.0,0.0,180.0,4.0
Rec-024_90s_1,5,pre,5359,290,331,0.9908,-3.0,0.0,180.0,3.0
Rec-024_90s_1,5,pre,5360,290,331,0.9896,0.0,0.0,0.0,0.0
Rec-024_90s_1,5,core,5361,290,332,0.9807,0.0,1.0,-90.0,1.0
Rec-024_90s_1,5,core,5362,293,332,0.9829,3.0,0.0,0.0,3.0
Rec-024_90s_1,5,core,5363,298,331,0.9839,5.0,-1.0,11.31,5.1
Rec-024_90s_1,5,core,5364,311,331,0.9866,13.0,0.0,0.0,13.0
Rec-024_90s_1,5,core,5365,320,331,0.9874,9.0,0.0,0.0,9.0
Rec-024_90s_1,5,core,5366,329,331,0.9879,9.0,0.0,0.0,9.0
Rec-024_90s_1,5,core,5367,334,331,0.9914,5.0,0.0,0.0,5.0
Rec-024_90s_1,5,core,5368,339,331,0.9882,5.0,0.0,0.0,5.0
Rec-024_90s_1,5,core,5369,348,331,0.9879,9.0,0.0,0.0,9.0
Rec-024_90s_1,5,core,5370,352,331,0.9908,4.0,0.0,0.0,4.0
Rec-024_90s_1,5,core,5371,355,331,0.9913,3.0,0.0,0.0,3.0
Rec-024_90s_1,5,post,5372,355,330,0.9938,0.0,-1.0,90.0,1.0
