specimen,layer_index,frame_type,frame_idx,tip_x,tip_y,confidence,delta_x,delta_y,direction_deg,movement_px
Rec-027_std_2,8,post,2227,355,330,0.992,0.0,-1.0,90.0,1.0
Rec-027_std_2,8,post,2228,355,330,0.9918,0.0,0.0,0.0,0.0
Rec-027_std_2,8,post,2229,351,330,0.9853,-4.0,0.0,180.0,4.0
Rec-027_std_2,8,post,2230,347,330,0.9876,-4.0,0.0,180.0,4.0
Rec-027_std_2,8,post,2231,347,330,0.9856,0.0,0.0,0.0,0.0
Rec-027_std_2,9,pre,2362,297,330,0.9913,,,,
Rec-027_std_2,9,pre,2363,293,330,0.9879,-4.0,0.0,180.0,4.0
Rec-027_std_2,9,pre,2364,290,330,0.9883,-3.0,0.0,180.0,3.0
Rec-027_std_2,9,pre,2365,290,331,0.9852,0.0,1.0,-90.0,1.0
Rec-027_std_2,9,pre,2366,290,331,0.99,0.0,0.0,0.0,0.0
Rec-027_std_2,9,core,2367,290,331,0.9873,0.0,0.0,0.0,0.0
Rec-027_std_2,9,core,2368,301,331,0.9869,11.0,0.0,0.0,11.0
Rec-027_std_2,9,core,2369,310,331,0.9876,9.0,0.0,0.0,9.0
Rec-027_std_2,9,core,2370,315,331,0.9872,5.0,0.0,0.0,5.0
Rec-027_std_2,9,core,2371,324,331,0.9874,9.0,0.0,0.0,9.0
Rec-027_std_2,9,core,2372,333,331,0.9876,9.0,0.0,0.0,9.0
Rec-027_std_2,9,core,2373,337,331,0.9866,4.0,0.0,0.0,4.0
Rec-027_std_2,9,core,2374,342,331,0.9872,5.0,0.0,0.0,5.0
Rec-027_std_2,9,core,2375,346,331,0.9851,4.0,0.0,0.0,4.0
Rec-027_std_2,9,core,2376,351,331,0.9853,5.0,0.0,0.0,5.0
Rec-027_std_2,9,core,2377,355,331,0.9849,4.0,0.0,0.0,4.0
Rec-027_std_2,9,post,2378,355,330,0.9921,0.0,-1.0,90.0,1.0
Rec-027_std_2,9,post,2379,355,330,0.9924,0.0,0.0,0.0,0.0
Rec-027_std_2,9,post,2380,353,330,0.9895,-2.0,0.0,180.0,2.0
Rec-027_std_2,9,post,2381,331,330,0.9821,-22.0,0.0,180.0,22.0
Rec-027_std_2,9,post,2382,328,330,0.9934,-3.0,0.0,180.0,3.0
Rec-027_std_2,10,pre,2509,295,330,0.991,,,,
Rec-027_std_2,10,pre,2510,291,330,0.9905,-4.0,0.0,180.0,4.0
Rec-027_std_2,10,pre,2511,290,330,0.9868,-1.0,0.0,180.0,1.0
Rec-027_std_2,10,pre,2512,290,331,0.9875,0.0,1.0,-90.0,1.0
Rec-027_std_2,10,pre,2513,290,331,0.9892,0.0,0.0,0.0,0.0
Rec-027_std_2,10,core,2514,290,331,0.9827,0.0,0.0,0.0,0.0
Rec-027_std_2,10,core,2515,304,331,0.9869,14.0,0.0,0.0,14.0
Rec-027_std_2,10,core,2516,313,331,0.9877,9.0,0.0,0.0,9.0
Rec-027_std_2,10,core,2517,322,331,0.9884,9.0,0.0,0.0,9.0
Rec-027_std_2,10,core,2518,326,331,0.9862,4.0,0.0,0.0,4.0
Rec-027_std_2,10,core,2519,331,331,0.9882,5.0,0.0,0.0,5.0
Rec-027_std_2,10,core,2520,335,331,0.9855,4.0,0.0,0.0,4.0
Rec-027_std_2,10,core,2521,340,331,0.9879,5.0,0.0,0.0,5.0
Rec-027_std_2,10,core,2522,344,331,0.9838,4.0,0.0,0.0,4.0
Rec-027_std_2,10,core,2523,349,331,0.9862,5.0,0.0,0.0,5.0
Rec-027_std_2,10,core,2524,353,331,0.982,4.0,0.0,0.0,4.0
Rec-027_std_2,10,core,2525,355,330,0.9878,2.0,-1.0,26.57,2.24
Rec-027_std_2,10,post,2526,355,330,0.9932,0.0,0.0,0.0,0.0
Rec-027_std_2,10,post,2527,355,330,0.9925,0.0,0.0,0.0,0.0
Rec-027_std_2,10,post,2528,344,330,0.9822,-11.0,0.0,180.0,11.0
Rec-027_std_2,10,post,2529,341,330,0.9963,-3.0,0.0,180.0,3.0
Rec-027_std_2,10,post,2530,341,330,0.9963,0.0,0.0,0.0,0.0
Rec-027_std_2,11,pre,2655,292,330,0.9871,,,,
Rec-027_std_2,11,pre,2656,290,330,0.9878,-2.0,0.0,180.0,2.0
Rec-027_std_2,11,pre,2657,290,331,0.987,0.0,1.0,-90.0,1.0
