specimen,pausa_s,peso_rottura_kg,pixel_row,pixel_col,pixel_id,T1_px,T2_px,T3_px,T4_px,T5_px,T6_px,delta_T_px,T_mean_px,T_std_px,T_max_px,T_min_px,fit_ok,fit_error,T0,A,alpha,T_inf,t_star,heating_rate_t0,sigma_T0,sigma_A,sigma_alpha,bed_temp_C,bed_temp_std_C
Rec-024_90s_1,90,1.75,1,3,8,84.30230769230769,91.73357142857144,93.85000000000002,95.57071428571427,96.19777777777777,97.70384615384616,13.401538461538465,93.22636955636956,4.82968440052542,97.70384615384616,84.30230769230769,True,,78.14669911888379,19.532563785833325,0.01426335742478349,97.67926290471712,279.63894557089776,0.2785999386997229,7.21722279899212,6.320969906094563,0.008351386725907595,65.416,2.467
Rec-024_90s_1,90,1.75,1,4,9,83.09,90.25928571428572,92.49300000000001,94.67999999999999,95.23111111111113,96.65923076923076,13.569230769230757,92.06877126577126,4.93890207790775,96.65923076923076,83.09,True,,77.84897657781929,19.411969037634577,0.011873064666846116,97.26094561545386,319.9658802166553,0.2304795636946499,6.415049715630976,5.267948600418498,0.007431572917015098,65.416,2.467
Rec-024_90s_1,90,1.75,2,0,10,83.34230769230768,90.68571428571428,92.602,95.14428571428572,95.59222222222223,97.28538461538461,13.94307692307693,92.44198575498577,5.0318816016917784,97.28538461538461,83.34230769230768,True,,76.6496641432951,20.5841951638648,0.014223443789396993,97.23385930715989,283.9135570579069,0.29277814286320836,6.959928927359808,5.957466310111632,0.008933816721771877,65.416,2.467
Rec-024_90s_1,90,1.75,2,1,11,81.66923076923078,89.28857142857143,91.407,94.02000000000001,94.50666666666667,96.20000000000002,14.530769230769238,91.18191147741148,5.261491263708397,96.20000000000002,81.66923076923078,True,,75.09040649472017,21.193064783439443,0.013671882929626247,96.28347127815961,294.6067332699458,0.2897491006391689,6.7527205844781495,5.767965601103002,0.007767822602037234,65.416,2.467
Rec-024_90s_1,90,1.75,2,2,12,80.54384615384613,88.05000000000003,90.43,92.70285714285714,93.78333333333333,95.07153846153845,14.52769230769232,90.09692918192918,5.304515513728704,95.07153846153845,80.54384615384613,True,,74.83574303961012,20.818822951356356,0.01214428873498691,95.65456599096647,320.4411553078496,0.2528297970438439,6.295148433027343,5.207762194473981,0.006828922698694916,65.416,2.467
Rec-024_90s_1,90,1.75,2,3,13,79.79230769230769,87.11857142857141,89.72300000000001,92.12071428571429,93.24111111111112,94.44692307692307,14.654615384615383,89.40710459910458,5.389704023239492,94.44692307692307,79.79230769230769,True,,74.38331880868745,20.98942856605816,0.011306768065622292,95.37274737474561,338.5789614392365,0.2373226006263667,6.126510812516283,4.933948145856761,0.006332670529237837,65.416,2.467
Rec-024_90s_1,90,1.75,2,4,14,79.33307692307692,86.38285714285715,89.236,91.8107142857143,92.64,93.82076923076922,14.4876923076923,88.8705695970696,5.378541659351078,93.82076923076922,79.33307692307692,True,,73.77342544513866,21.047003630169844,0.011234593230194958,94.8204290753085,340.42792782208335,0.23645452449939483,6.164910006206916,4.965492800057335,0.006467398141282644,65.416,2.467
Rec-025_30s_1,30,1.75,0,0,0,109.588,115.0276923076923,116.51583333333332,120.09249999999999,121.75076923076925,122.895,13.307000000000002,117.6449658119658,4.968916645238532,122.895,109.588,True,,106.35477948246987,20.545289345577682,0.00647291083296731,126.90006882804755,501.9489782998906,0.13298782597143763,9.196801884548893,19.775993602535145,0.01834736012849665,67.051,1.965
Rec-025_30s_1,30,1.75,0,1,1,100.85099999999998,107.17999999999999,108.42083333333333,111.45083333333334,113.06615384615384,113.84916666666668,12.998166666666691,109.13633119658118,4.816578170159624,113.84916666666668,100.85099999999998,True,,96.69198039460908,18.841978537496658,0.009392817996903556,115.53395893210573,376.3349855526332,0.17697927510426914,5.846237957084625,5.446202129621048,0.011854517109566198,67.051,1.965
Rec-025_30s_1,30,1.75,0,2,2,95.533,102.0023076923077,103.40083333333332,105.88666666666666,107.76461538461538,107.92500000000001,12.39200000000001,103.75207051282052,4.664944054802221,107.92500000000001,95.533,True,,90.94709846188047,18.326532306000647,0.010734438222610625,109.27363076788112,339.153318966843,0.1967250288734418,4.224307186388722,3.378789350768605,0.009235024853319163,67.051,1.965
